[Mourad\155\Foam\Open\BDS01852.txt]
1200 samples
60 Markov chains

(1,2)(1,3)(1,4)(1,4)(1,4)(1,4)(1,2)(1,2)(1,3)(1,3)(1,3)(1,4)(1,2)(1,2)(1,3)(1,3)(1,3)(1,3)(1,3)(1,3)(1,3)
(1,3)(1,4)(1,2)(1,1)(1,2)(1,2)(1,3)(1,3)(1,2)(1,2)(1,1)(1,1)(1,1)(1,2)(1,3)(1,2)(1,3)(1,2)(1,3)(1,3)(1,3)
(1,3)(1,2)(1,3)(1,2)(1,2)(1,2)(1,1)(1,2)(1,2)(1,1)(1,2)(1,2)(1,2)(1,2)(1,2)(1,3)(1,3)(1,4)(1,3)(1,4)(2,4)
(2,4)(2,3)(2,3)(1,2)(1,2)(1,2)(1,2)(1,3)(1,3)(1,4)(1,3)(1,2)(1,2)(1,1)(1,2)(1,2)(1,3)(1,4)(1,3)(1,4)(1,4)
(1,4)(1,5)(1,2)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,2)(1,3)(1,4)(1,5)(1,4)(1,3)(1,2)(1,1)(1,1)(1,3)(1,3)(1,3)
(1,3)(1,3)(1,2)(1,2)(1,3)(1,3)(1,1)(1,2)(1,2)(1,3)(1,3)(1,3)(1,3)(1,2)(1,2)(1,2)(1,3)(1,3)(1,2)(1,2)(1,3)
(1,3)(1,4)(1,3)(1,2)(1,1)(1,2)(1,3)(1,3)(1,3)(1,2)(1,2)(1,2)(1,2)(1,3)(1,3)(1,2)(1,2)(1,2)(1,2)(1,2)(1,2)
(1,2)(1,1)(1,1)(1,2)(1,2)(1,2)(1,3)(1,4)(1,5)(1,5)(1,4)(1,4)(1,5)(1,3)(1,2)(1,2)(1,2)(1,2)(1,2)(1,2)(1,3)
(1,3)(1,3)(1,4)(1,5)(1,5)(1,4)(1,3)(1,4)(1,4)(1,3)(1,4)(1,3)(1,3)(1,2)(1,2)(1,2)(1,2)(1,2)(1,1)(1,1)(1,1)
(1,1)(1,1)(1,1)(1,2)(1,2)(1,2)(1,2)(1,1)(1,1)(1,1)(1,1)(1,1)(1,1)(1,2)(1,3)(1,3)(1,2)(1,1)(1,1)(1,2)(1,3)
(1,3)(1,4)(1,4)(1,4)(1,3)(1,2)(1,1)(1,1)(1,2)(1,2)(1,3)(1,6)(1,6)(1,4)(1,2)(1,1)(1,1)(1,2)(1,2)(1,2)(1,2)
